NCT Number,Study Title,Study URL,Acronym,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Locations
NCT05104775,"A Study of GNC-035, a Tetra-specific Antibody, in Participants With Relapsed/Refractory Hematologic Malignancy",https://clinicaltrials.gov/study/NCT05104775,,"In this study, the safety, tolerability and preliminary effectiveness of GNC-035 in patients with relapsed/refractory hematologic malignancies will be investigated to assess the dose-limiting toxicity (DLT), maximum tolerated dose (MTD) or maximum administered dose (MAD) for MTD is not reached of GNC-035.",NO,Hematologic Malignancies,DRUG: GNC-035,"DLT, Dose limiting toxicity, Up to 2 weeks|MTD or MAD, Maximum tolerated dose or maximum administrated dose, Up to 2 weeks|TEAE, Treatment-Emergent Adverse Event, Up to 2 years|The recommended dose for future clinical study, The recommended dose for future clinical study, Up to 2 weeks|RP2D, Recommended phase II dose, Up to 2 years","Sichuan Baili Pharmaceutical Co., Ltd.",SystImmune Inc.,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2022-02-09,2025-06,"Guangzhou First People's Hospital, Guangzhou, Guangdong, China|Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China|The Fourth Hospital of Hebei Medical University, Shijiazhuang, Hebei, China|Union Hospital Tongji Medical College Huazhong University of Science and Technology, Wuhan, Hubei, China|Shengjing Hospital of China Medical University, Shenyang, Liaoning, China|Ruijin Hospital, Shanghai Jiaotong University School of Medicine, Shanghai, Shanghai, 200025, China|The Second People's Hospital of Yibin, Yibin, Sichuang, China"
NCT02873793,Analysis of Transposon Control Pathways in Germinal Cancers of the Testicle,https://clinicaltrials.gov/study/NCT02873793,SEMINOMES,"By analogy with the mouse, the activity of control pathways for transposable elements (TE) in foetal primordial germinal cells could prove to be a determinant for fertility in adulthood in humans. Moreover, defects in the control of transposable elements (TE) could also contribute to the aetiology of germinal testicular cancer, by inducing chromosomal instability and tumorigenesis. In this context, the aim is to analyse a specific type of adult germinal testicular cancers, seminomas. Directly related to our research interest, the histological, transcriptomic and epigenetic features of theses adult tumours are reminiscent of germinal cells normally present in foetuses. The investigator postulates that these similarities could also extend to the biology of transposable elements (TE), and in particular to the initiation of the control of these elements. The management of seminomas requires surgery, orchiectomy, which consists of the total excision of the affected testicles. Using high-resolution high-throughput sequencing techniques, we propose to analyse the control pathways of transposable elements (TE) in tumour samples harvested from surgical pieces in comparison with adjacent healthy tissue. The results obtained in these tumour samples will be compared with those in normal foetal gonad samples.",NO,Germinal Cancers of the Testicle,GENETIC: Extraction of total RNA from healthy and tumour tissues,"The role of Transposable Element in tumorigenesis seminomas adults, Transcriptomic analysis of adult seminomas, through the study completion up to 36 months",Centre Hospitalier Universitaire Dijon,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2015-04,2018-04,"CHU Dijon Bourgogne, Dijon, 21079, France"
NCT05205252,A Study of Tazemetostat in Combination With Various Treatments in Participants With Blood Cancer.,https://clinicaltrials.gov/study/NCT05205252,ARIA,"This trial will study how safely the tazemetostat works with other therapies in various hematological malignancies. Hematologic malignancies are cancers that most often begin in the bone marrow or lymph nodes where blood precursors are produced.

They are often called blood cancers and fall into three categories: leukemia, lymphoma and myeloma.

Tazemetostat has been found to be a safe and effective drug that works in patients with follicular lymphoma where the disease has come back after treatment (known as relapsed) and when other treatment no longer works (known as refractory).

Combining tazemetostat with other treatments may work better in treating patients with hematological malignancies and may improve disease response and durability of response.",NO,Relapsed Hematologic Malignancy|Refractory Hematologic Malignancy,DRUG: Tazemetostat|DRUG: Tafasitamab|DRUG: Lenalidomide|DRUG: Acalabrutinib|DRUG: Daratumumab (Intravenously)|DRUG: Mosunetuzumab|DRUG: Daratumumab (Subcutaneously)|DRUG: Hyaluronidase-Fihj|DRUG: Pomalidomide|DRUG: Dexamethasone 20mg,"Phase 1b: Recommended Phase 2 Dose (RP2D) of tazemetostat in combination with each partner drug, The safety and tolerability of tazemetostat in combination with each partner drug in participants with R/R malignancies will be evaluated. RP2D of tazemetostat for further evaluation in phase 2 will be selected as assessed by the occurrence of treatment-emergent dose-limiting toxicities (DLTs) and adverse events (AEs)., Evaluated for DLTs during the first 28-day cycle. The RP2D for Phase 2 for each arm will be selected at the end of that arm's experience in Phase 1b|Phase 2: Objective Response Rate (ORR), Overall response rate is defined as proportion of participants with a best response of at least partial remission (including partial remission and complete remission for participants with non-Hodgkin lymphoma in Arms 1, 2, 3, or 5 or partial remission, complete remission, stringent complete response, or very good partial response)., Time from the date of first dose of study drug to the time of response, assessed up to 24 months.","Epizyme, Inc.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2021-12-22,2023-07-05,"California Cancer Associates For Research And Excellence, cCARE, Santa Fe, California, 92024, United States|Central Care Cancer Center, Bolivar, Missouri, 65613, United States|Astera Cancer Center, East Brunswick, New Jersey, 08816, United States"
NCT04990882,FAPI PET/CT Prospective Interobserver Agreement,https://clinicaltrials.gov/study/NCT04990882,AGREE-FAPI,The aim of the present study is to evaluate the interobserver agreement for FAPI PET/CT interpretations of representative cancer types and compare findings among readers with different levels of experience.,NO,Malignant Neoplasm,OTHER: Interpretation of FAPI-PET/CT scans,"Agreement among observer groups in interpreting FAPI PET/CT scans, Number of concordant scans among observer groups. Each scan will be rated as positive, negative or suspicion. For each scan all definite and suspicious lesions will be reported as well. Observer's reports data will be compared with an Expert Reading, which includes lesion validation, if applicable (i.e. imaging, laboratory, histopathology)., 3 Months","University Hospital, Essen",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2021-09-01,2022-10-30,"Department of Nuclear Medicine, Essen, Germany"
NCT02243592,Molecular Profiling in Tissue Samples From Patients With Cancer Who Are Exceptional Responders to Treatment,https://clinicaltrials.gov/study/NCT02243592,,This pilot research trial studies molecular profiling in tissue samples from patients with cancer who got better with treatment that didn't work for most other patients with the same disease. Studying samples of tissue from patients with cancer in the laboratory may help doctors learn more about changes that occur in deoxyribonucleic acid (DNA) and identify biomarkers related to how well patients respond to treatment.,NO,Malignant Neoplasm,OTHER: Laboratory Biomarker Analysis,"Molecular features in tissue samples from patients who were exceptional responders, The molecular features of the tumors in the patients will be discernible as distinct to the tumor by comparison to (i) samples from normal tissue in the same patient and (ii) databases of similar data for normal and other tumor types., Baseline|Putative mechanisms of action of the treatments that the patients received when they experienced their exceptional responses, The associations between identified molecular features and the putative mechanisms of action of the treatments that the patients received when they experienced their exceptional responses will be explored. Statistical analyses will be primarily descriptive., Baseline|Number of cases identified as potential exceptional responders, Statistical analyses will be primarily descriptive., Baseline|Percentage of identified potential cases confirmed to be exceptional responders, Statistical analyses will be primarily descriptive., Baseline|Percentage of confirmed exceptional responders for which adequate tissue with appropriate informed consent is acquired, Statistical analyses will be primarily descriptive., Baseline|Percentage of acquired cases with tissue for which at least the minimum molecular characterization is successfully obtained, Statistical analyses will be primarily descriptive., Baseline|Percentage of molecularly characterized cases for which a Molecular Characterization report identified (without reference to the drug received by the patient) at least one feature judged to have potential therapeutic relevance, Promising discoveries will be summarized for the group of cases for which the minimum molecular characterization was successfully obtained. For each such case, molecular data will be reviewed by an expert panel (""Panel"") to identify interesting features. All estimated proportions will be accompanied by exact 95% confidence intervals., Baseline|Percentage of cases with >= 1 feature on Molecular Characterization report that was judged to have potential therapeutic relevance to the specific class of drug the patient actually received when the exceptional response was experienced, Promising discoveries will be summarized for the group of cases for which the minimum molecular characterization was successfully obtained. For each such case, molecular data will be reviewed by the Panel to identify interesting features. All estimated proportions will be accompanied by exact 95% confidence intervals., Baseline|Percentage of cases with >= 1 feature that correlates with the mechanism of action of the specific grant to which the exceptional response occurred that was found after further analyzing the molecular profile data for relevant molecular abnormalities, Promising discoveries will be summarized for the group of cases for which the minimum molecular characterization was successfully obtained. For each such case, molecular data will be reviewed by the Panel to identify interesting features. All estimated proportions will be accompanied by exact 95% confidence intervals., Baseline",National Cancer Institute (NCI),,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2014-09-24,2021-03-04,"City of Hope Comprehensive Cancer Center, Duarte, California, 91010, United States|Kaiser Permanente-Fresno, Fresno, California, 93720, United States|Kaiser Permanente-Oakland, Oakland, California, 94611, United States|Kaiser Permanente-Richmond, Richmond, California, 94801, United States|UCSF Medical Center-Mission Bay, San Francisco, California, 94158, United States|Kaiser Permanente Medical Center - Santa Clara, Santa Clara, California, 95051, United States|Kaiser Permanente-Santa Rosa, Santa Rosa, California, 95403, United States|Kaiser Permanente-Stockton, Stockton, California, 95210, United States|Kaiser Permanente-Walnut Creek, Walnut Creek, California, 94596, United States|UCHealth University of Colorado Hospital, Aurora, Colorado, 80045, United States|Poudre Valley Hospital, Fort Collins, Colorado, 80524, United States|Greenwich Hospital, Greenwich, Connecticut, 06830, United States|Helen F Graham Cancer Center, Newark, Delaware, 19713, United States|Medical Oncology Hematology Consultants PA, Newark, Delaware, 19713, United States|Sibley Memorial Hospital, Washington, District of Columbia, 20016, United States|Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, 30322, United States|John B Amos Cancer Center, Columbus, Georgia, 31904, United States|South Georgia Medical Center/Pearlman Cancer Center, Valdosta, Georgia, 31602, United States|Saint Alphonsus Cancer Care Center-Boise, Boise, Idaho, 83706, United States|Rush University Medical Center, Chicago, Illinois, 60612, United States|Presence Resurrection Medical Center, Chicago, Illinois, 60631, United States|Cancer Care Specialists of Illinois - Decatur, Decatur, Illinois, 62526, United States|Decatur Memorial Hospital, Decatur, Illinois, 62526, United States|NorthShore University HealthSystem-Evanston Hospital, Evanston, Illinois, 60201, United States|Illinois CancerCare-Peoria, Peoria, Illinois, 61615, United States|Springfield Clinic, Springfield, Illinois, 62702, United States|Physicians' Clinic of Iowa PC, Cedar Rapids, Iowa, 52402, United States|York Hospital, York, Maine, 03909, United States|National Cancer Institute Developmental Therapeutics Clinic, Bethesda, Maryland, 20892, United States|NCI - Center for Cancer Research, Bethesda, Maryland, 20892, United States|Trinity Health Saint Joseph Mercy Hospital Ann Arbor, Ann Arbor, Michigan, 48106, United States|University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, 48109, United States|Trinity Health Medical Center - Brighton, Brighton, Michigan, 48114, United States|Wayne State University/Karmanos Cancer Institute, Detroit, Michigan, 48201, United States|Corewell Health Grand Rapids Hospitals - Butterworth Hospital, Grand Rapids, Michigan, 49503, United States|UP Health System Hematology Oncology Marquette, Marquette, Michigan, 49855, United States|UP Health System Marquette, Marquette, Michigan, 49855, United States|Henry Ford Health Providence Southfield Hospital, Southfield, Michigan, 48075, United States|Saint Francis Medical Center, Cape Girardeau, Missouri, 63703, United States|Washington University School of Medicine, Saint Louis, Missouri, 63110, United States|Missouri Baptist Medical Center, Saint Louis, Missouri, 63131, United States|Mercy Hospital Saint Louis, Saint Louis, Missouri, 63141, United States|Mercy Hospital Springfield, Springfield, Missouri, 65804, United States|CoxHealth South Hospital, Springfield, Missouri, 65807, United States|Benefis Sletten Cancer Institute, Great Falls, Montana, 59405, United States|Portsmouth Regional Hospital, Portsmouth, New Hampshire, 03802, United States|University of New Mexico Cancer Center, Albuquerque, New Mexico, 87106, United States|University of Rochester, Rochester, New York, 14642, United States|Duke University Medical Center, Durham, North Carolina, 27710, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, 27157, United States|Sanford Roger Maris Cancer Center, Fargo, North Dakota, 58122, United States|Riverside Methodist Hospital, Columbus, Ohio, 43214, United States|Cancer Centers of Southwest Oklahoma Research, Lawton, Oklahoma, 73505, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|Kaiser Permanente Northwest, Portland, Oregon, 97227, United States|Phoenixville Hospital, Phoenixville, Pennsylvania, 19460, United States|Chester County Hospital, West Chester, Pennsylvania, 19380, United States|Reading Hospital, West Reading, Pennsylvania, 19611, United States|Prisma Health Cancer Institute - Butternut, Greenville, South Carolina, 29605, United States|Prisma Health Cancer Institute - Faris, Greenville, South Carolina, 29605, United States|Prisma Health Cancer Institute - Seneca, Seneca, South Carolina, 29672, United States|Sanford Cancer Center Oncology Clinic, Sioux Falls, South Dakota, 57104, United States|Sanford USD Medical Center - Sioux Falls, Sioux Falls, South Dakota, 57117-5134, United States|Wellmont Holston Valley Hospital and Medical Center, Kingsport, Tennessee, 37660, United States|Baylor College of Medicine/Dan L Duncan Comprehensive Cancer Center, Houston, Texas, 77030, United States|Ben Taub General Hospital, Houston, Texas, 77030, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute/University of Utah, Salt Lake City, Utah, 84112, United States|University of Virginia Cancer Center, Charlottesville, Virginia, 22908, United States|WVUH-Berkely Medical Center, Martinsburg, West Virginia, 25401, United States|University of Wisconsin Carbone Cancer Center - University Hospital, Madison, Wisconsin, 53792, United States|Aurora Medical Center in Summit, Summit, Wisconsin, 53066, United States|UW Cancer Center at ProHealth Care, Waukesha, Wisconsin, 53188, United States"
NCT00797446,Photon/Proton Radiation Therapy for Oropharyngeal Cancers,https://clinicaltrials.gov/study/NCT00797446,OP01,The purpose of this study is to collect information from the questionnaire and medical records to see what effects proton radiation has on cancer and collect and analyze morbidity outcomes: incidence of xerostomia (dry mouth) and tumor control.,NO,Oropharyngeal Cancers,,"Collect and analyze morbidity outcomes: incidence of xerostomia, From date of registration until the date of first documented progression or date of death from any cause, whichever came first, assessed up to 60 months",University of Florida,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2007-09,2015-07,"University of Florida Proton Therapy Institute, Jacksonville, Florida, 32206, United States"
NCT02280161,Germ-Line Mutations in Blood and Saliva Samples From Patients With Cancer,https://clinicaltrials.gov/study/NCT02280161,,"This research trial studies germ-line mutations in blood and saliva samples from patients with cancer. Studying samples of blood and saliva from patients with cancer in the laboratory may help doctors learn more about how inherited genetic mutations can affect cancer predisposition (an inherited increase in the risk of developing cancer), their impact on treatment response, and their role in cancer development.",NO,Malignant Neoplasm,OTHER: cytology specimen collection procedure,"Prevalence of germ-line variants, The prevalence of germ-line variants of interest will be compared to the baseline prevalence found using available large human genomic DNA collections. The primary statistical analysis will involve comparisons of genotypes between with (cases) and without (controls) the germ-line mutation. This analysis will include Pearson's chi-square analysis or Fisher's exact test and computation of odds ratios to assess the relationship of the genetic polymorphism and cancer risk., Up to 5 years|Overall genotype frequencies, The overall genotype frequencies among the cases and expected control levels will first be compared with the frequencies expected from Hardy-Weinberg equilibrium by goodness-of-fit chi-square. Odds ratios and 95% confidence intervals will be used to estimate risk associated with the variant genotypes by using both univariate and unconditional multivariate logistic regression models., Up to 5 years|Response to treatment, The impact of inherited variants on response to treatment will be determined., Up to 5 years|Cancer development, The role of inherited variants in clinical and pathological cancer development will be determined., Up to 5 years",Jonsson Comprehensive Cancer Center,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2014-09-16,2025-09-16,"Jonsson Comprehensive Cancer Center, Los Angeles, California, 90095, United States"
NCT02197091,Communication Effectiveness in Cancer Treatment,https://clinicaltrials.gov/study/NCT02197091,,This pilot research trial studies communication effectiveness in cancer treatment. Studying how well patients and their doctors communicate about the treatment being given for cancer may help improve the decisions that patients and physicians make together.,NO,Malignant Neoplasm,OTHER: questionnaire administration|OTHER: medical chart review,"Patient perceptions about the nature of their therapy and diagnosis, The precision of agreement between patient's and doctor's responses about the intent of therapy will be assessed. The level of agreement between the questions as answered by the patient on the Prognosis Instrument and by the doctor on the Doctor Questionnaire will be assessed. Agreement will be measured as either ""yes"" (meaning the doctor and patient responses match exactly) or ""no"" (any other combination, if both doctor and patient responded). The primary measure of agreement will be the Kappa statistic; the Kappa and its corresponding 95% confidence interval (CI) will be reported., Baseline|Feasibility, as assessed by accrual rate, Accrual will be estimated as the number of patients accrued divided by the months of accrual. A 95% confidence interval for the monthly accrual will be calculated based on the Poisson distribution., Up to 5 years|Feasibility, as assessed by participation rate, The participation rate will be estimated as the number of patients who are participants divided by the number eligible. This estimate will be calculated separately by cancer type to see what cancer types are more or less likely to participate. An exact 95% CI will be calculated for this estimate of each cancer type., Up to 5 years",Wake Forest University Health Sciences,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2014-07,2016-03,"Comprehensive Cancer Center of Wake Forest University, Winston-Salem, North Carolina, 27157, United States"
NCT06550102,Drug Response Profiling (DRP) Registry Zurich for Hematological Malignancies,https://clinicaltrials.gov/study/NCT06550102,DRP_ZH,"This study is a prospective, non-randomized feasibility study of drug response profiling (DRP) in pediatric blood cancers. Primary cancer cells are isolated from patients and screened ex vivo at single-cell resolution using automated fluorescence microscopy. Drug sensitivity fingerprints are integrated with genetic annotations to inform the treating physician about personalized treatment options. The study aims to determine the practicability of real-time drug response profiling and its actionability in identifying patient-specific cancer dependencies in refractory disease settings.",NO,Hematological Malignancies,,"Feasibility of real-time ex vivo drug screening, Rate of successful single-cell, image-based drug response profiling assays which are reported to the treating physician., 10 days","University Children's Hospital, Zurich",,ALL,"CHILD, ADULT",OBSERVATIONAL,2022-01-04,2031-12-31,"University Children's Hospital Zurich, Zurich, ZH, 8032, Switzerland"
NCT05825794,Active Pharmacovigilance of Anti-cancer Medicines,https://clinicaltrials.gov/study/NCT05825794,,"Pharmacovigilance (PV), defined by the World Health Organization (WHO) as the ""science and activities related to the detection, evaluation, understanding and prevention of adverse effects or any other drug-related problem"", aims to improve patient safety and quality of life. There are several objectives of PV, starting with the collection and management of safety data, to promote the safe and effective use of medicines. PV also aims to provide information on drug safety to health professionals and patients, and it contributes to updating drug labels. Finally, it is active in risk management, risk minimization and the prevention of adverse effects and other drug-related problems. As defined by WHO, an adverse event (AE) is ""any untoward medical occurrence that may be present during treatment with a medicine, but which does not necessarily have a causal relationship with this treatment"". When there is a causal relationship with the treatment, an AE is classified as an adverse drug reaction (ADR). The collection and reporting of AEs is a process that starts from the drug development phase and proceeds continuously throughout the life cycle of the drug, and it aims to assess the benefits-to-toxicity ratios (in other words, the safety and efficacy) of all medicines. Reports of ADRs must accurately describe the case and be meaningful to health professionals worldwide. The aim of this project is to evaluate the impact of an active prescription surveillance of anti-cancer drugs carried out by the clinical pharmacist in pediatrics and young adults.",NO,Oncology|Drugs|Pharmacovigilance,,"To quantify the number of grade 3-5 ADRs reported during the active surveillance period, ADRs grades will be standardized using the Common Terminology Criteria for Adverse Events (CTCAE) v4.3., Through study completion, an average of 3 years|To compare the number of grade 3-5 ADRs reported during the active surveillance period with the number of grade 3-5 ADRs reported in the previous years, Period of equal length will be compared, Through study completion, an average of 3 years",IRCCS Burlo Garofolo,,ALL,"CHILD, ADULT",OBSERVATIONAL,2021-10-28,2023-12-31,"IRCCS materno infantile Burlo Garofolo, Trieste, 34137, Italy"
NCT03166774,Support of the Sexual Health in Oncology,https://clinicaltrials.gov/study/NCT03166774,,"Implementation of sexual health support program in oncology department. This program is organized in 3 axes. One is to inform the side effects of treatment on sexual health.

There is a counselling team (nurse, esthetician,sexologue..etc) to raise the subject with patient and partner .

Finally, the oncologist continue during the treatment to evaluate the benefit of this program and adapt their counselling according to the needs",NO,Oncology|Sexual Health,OTHER: Program of support of the sexual health,"Benefit of the care measurement program, assessment of data recorded on questionnaire, Day 1",Fondation Hôpital Saint-Joseph,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2016-06-06,2017-06-06,
NCT06066255,PROPHYLAXIS OF GVH IN ELDERLY PATIENTS RECEIVING HAPLOIDENTICAL ALLOGENIC HEMATOPOIETIC STEM CELL TRASNPLANTATION USE OF A LOW DOSE ANTI-LYMPHOCYTIC SERUM,https://clinicaltrials.gov/study/NCT06066255,CASPER,"The aim of this trial is to evaluate the efficacy of GVH prophylaxis reinforced by low-dose Thymoglobulin administered at the end of aplasia after haploidentical allogeneic transplantation.

Patients will receive a single infusion of Thymoglobulin at a dose of 1 mg/kg between 48h and 72h after emergence from aplasia, and will be followed for 12 months.",NO,Hematological Malignancy,DRUG: Thymoglobulin Injectable Product,"Rate of acute GVH, To assess the rate of grade 2-4 acute GVHD post allograft using the MAGIC classification., Day 100",Institut Paoli-Calmettes,Sanofi,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-03-31,2026-03-31,
NCT04278534,Virtual Reality for the Education of Cancer Patients Undergoing Radiation Therapy,https://clinicaltrials.gov/study/NCT04278534,,This trial studies the use of virtual reality as an educational tool for cancer patients undergoing radiation therapy. The purpose of the study is to learn about virtual reality education (VERT) and if it may be able to help people who are planning to receive radiation therapy. Patient education using virtual reality may result in better understanding and/or decreased anxiety in patients receiving radiation therapy.,NO,Malignant Neoplasm,OTHER: Educational Intervention|OTHER: Educational Intervention|OTHER: Educational Intervention|OTHER: Survey Administration,"Knowledge of radiation therapy (RT), Measured by part 1 of the Radiation Therapy Patient Education Survey by start of RT. The sum of scores from Survey 1.1 for Arm 1 will be compared with that of Arm 2 (using total scores from Survey 1.0 for Arm 2 control group \[CG\]1 and total scores from Survey 1.1 for Arm 2 CG2) using two-sided two-sample t test. Linear regression models will be fitted for adjusted comparison after controlled for disease sites and other important patient and tumor characteristics., Prior to start of planned RT, on the first treatment day up to completion of the virtual reality education (VERT) intervention of planned RT (up to 9 weeks)",OHSU Knight Cancer Institute,Oregon Health and Science University,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2020-05-28,2023-06-30,"Compass Oncology Rose Quarter, Portland, Oregon, 97227, United States|OHSU Knight Cancer Institute, Portland, Oregon, 97239, United States"
NCT00172965,Diagnosis of Oral Precancers and Cancers Using Optic Coherence Tomography,https://clinicaltrials.gov/study/NCT00172965,,Diagnosis of oral precancers and cancers using optic coherence tomography,NO,Oral Cancers,,,National Taiwan University Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2004-08,,"National Taiwan University Hospital, Taipei, 100, Taiwan"
NCT06810427,"A Novel, Low-Cost, Handheld 3D Imaging System for Improved Screening for Cervical Neoplasia in Resource-Limited Settings",https://clinicaltrials.gov/study/NCT06810427,CervImage,The purpose of this study is to evaluate the design and engineering of a new minimally invasive medical imaging device (CervImage™). Investigators are trying to find out if CervImage™ is reliable and easy to use to obtain clinical 3D photographs and to record 3D measurements in human cervixes. Investigators then plan to use these images to determine if CervImage™ design and engineering improvements need to be made.,NO,Cervical Intraepithelial Neoplasia,DEVICE: CervImage device,"Image Quality and Resolution vs Standard-of-Care, CervImage images evaluated on Spatial resolution, distortion, brightness, magnification, color correctness, corrupted pixel rows, and visual inspection vs standard-of-care cervical imaging for intraepithelial dysplasia \[CIN\] visualization., Immediately after the procedure",Carilion Clinic,"National Cancer Institute (NCI)|Pensievision, Inc",FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-01-16,2025-07-16,"Carilion Clinic, Roanoke, Virginia, 24013, United States"
NCT03724890,Study of Avelumab-M3814 Combinations,https://clinicaltrials.gov/study/NCT03724890,,"The main purpose of the study is to evaluate a safe, tolerable recommended Phase II dose (RP2D) and/or the maximum tolerated dose (MTD) of M3814 when given in combination with avelumab with and without radiotherapy in participants with selected advanced solid tumors.",NO,Oncology|Solid Tumors,DRUG: M3814|DRUG: M3814|DRUG: Avelumab|RADIATION: Radiotherapy,"Part A: Occurrence of Dose-limiting Toxicities (DLTs), From first study intervention to planned final assessment at 3 weeks|Part B: Occurrence of Dose-limiting Toxicities (DLTs), From first study intervention to planned final assessment at 4 weeks|Part FE: Area Under the Plasma Concentration-Time Curve From Time Zero to Last Quantifiable Concentration (AUC0-t) of M3814, Pre-dose up to end of treatment at 268 days|Part FE: Maximum Observed Drug Concentration (Cmax) of M3814, Pre-dose up to end of treatment at 268 days","EMD Serono Research & Development Institute, Inc.","Merck KGaA, Darmstadt, Germany",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2018-11-27,2021-09-01,"H. Lee Moffitt Cancer Center and Research Institute, Inc, Tampa, Florida, 33612, United States|The University of Chicago Medical Center, Chicago, Illinois, 60637, United States|Mount Sinai - PRIME (10707), Lake Success, New York, 11041, United States|UC Health Clinical Trials Office (10702), Cincinnati, Ohio, 45267-0502, United States|University of Oklahoma Health Sciences Center - Stephenson Cancer Center, Oklahoma City, Oklahoma, 73104, United States|University of Pittsburgh Medical Center Health System, Pittsburgh, Pennsylvania, 15213, United States|Greenville Hospital System University Medical Center (ITOR), Greenville, South Carolina, 29605, United States|Vanderbilt-Ingram Cancer Center (8867), Nashville, Tennessee, 37212, United States"
NCT02978482,A Phase 1/2 Study of Durvalumab(MEDI4736) and Tremelimumab in Chinese Patients With Advanced Malignancies,https://clinicaltrials.gov/study/NCT02978482,,"A Phase 1/2 Open-label, Multi-center Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Anti-tumor Activity of Durvalumab (MEDI4736) in combination with tremelimumab in Chinese Patients with Advanced Malignancies",NO,Advanced Malignancy,DRUG: durvalumab|DRUG: tremelimumab + durvalumab,"Maximum plasma concentration (Cmax), Only for phase 1 portion of the study, approximately 6 months after the last evaluable patient in Phase 1 portion is first dosed|Trough plasma concentration (Ctrough), Only for phase 1 portion of the study, approximately 6 months after the last evaluable patient is first dosed in phase 1 portion|Area under the plasma drug concentration-time curve from time zero to Day 28 post-dose (AUC 0-28), Only for phase 1 portion of the study, approximately 6 months after the last evaluable patient is first dosed in phase 1 portion|Adverse event, Approximately 12 months after the last evaluable patient from Ph 1 is 1st dosed or the last patient has withdrawn from study or the study discontinued by Sponsor|Objective response rate (ORR), Only for phase 2 portion of the study (Phase 2 part withdrawn without initiation), Approximately 12 months after the last evaluable patient is dosed, or the last patient has withdrawn from the study or the study is discontinued by the sponsor.",AstraZeneca,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2016-12-01,2018-01-28,"Research Site, Changchun, 130000, China|Research Site, Changchun, 130012, China"
NCT04757545,Symptom Identification and Management in Patients With Hematological Malignancy During Follow-up Care,https://clinicaltrials.gov/study/NCT04757545,SIMPly-CARE,The aim is to study the effect of a systematic approach to symptom identification and management with disease specific and clinically developed PRO (HM-PRO) with a 12 month follow up in outpatient care in patients with chronic hematological malignancy.,NO,Hematologic Malignancy,OTHER: HM-PRO,"Change in Health related quality og life: EORTC QLQ C30, The global health domain, At 12 months","Rigshospitalet, Denmark",Novo Nordisk A/S,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2021-02-08,2023-02-01,"Dept. of Hematology, Copenhagen, 2100, Denmark"
